435,Jaylen Nowell,MIN,"$1,400,000"
436,Alfonzo McKinnie,CLE,"$1,361,046"
437,Kevin Porter,CLE,"$1,290,960"
438,Carsen Edwards,BOS,"$1,228,026"
439,Cody Martin,CHO,"$1,173,310"
440,Gary Payton,WAS,"$1,090,781"
,,,Salary
Rk,Player,Tm,2019-20
441,George Hill,MIL,"$1,000,000"
442,Terance Mann,LAC,"$1,000,000"
443,Jonathon Simmons,WAS,"$1,000,000"
444,Justin Hamilton,TOR,"$1,000,000"
445,Kyle Singler,OKC,"$999,200"
446,Marvin Williams,MIL,"$956,349"
447,Admiral Schofield,WAS,"$898,310"
448,KZ Okpala,MIA,"$898,310"
449,Eric Paschall,GSW,"$898,310"
450,Nicolas Claxton,BRK,"$898,310"
451,Justin James,SAC,"$898,310"
452,Jalen Lecque,PHO,"$898,310"
453,Ignas Brazdeikis,NYK,"$898,310"
454,Talen Horton-Tucker,LAL,"$898,310"
455,Daniel Gafford,CHI,"$898,310"
456,Alen Smailagić,GSW,"$898,310"
457,Matt Thomas,TOR,"$898,310"
458,Miye Oni,UTA,"$898,310"
459,Dewan Hernandez,TOR,"$898,310"
460,Terence Davis,TOR,"$898,310"
,,,Salary
Rk,Player,Tm,2019-20
461,Wenyen Gabriel,POR,"$898,310"
462,Naz Reid,MIN,"$898,310"
463,Jalen McDaniels,CHO,"$898,310"
464,Caleb Martin,CHO,"$898,310"
465,Shaquille Harrison,CHI,"$898,310"
466,Javonte Green,BOS,"$898,310"
467,Damion Lee,GSW,"$842,327"
468,Khyri Thomas,DET,"$838,464"
469,DeMarre Carroll,HOU,"$811,447"
470,Michael Kidd-Gilchrist,DAL,"$810,763"
471,Marquese Chriss,GSW,"$758,804"
472,Juwan Morgan,UTA,"$746,054"
473,Patrick Patterson,OKC,"$737,067"
474,Reggie Jackson,LAC,"$734,025"
475,Alfonzo McKinnie,CLE,"$708,871"
476,Gary Clark,HOU,"$708,426"
477,Jeff Green,HOU,"$695,526"
478,Cole Aldrich,MIN,"$685,340"
479,Shaun Livingston,GSW,"$666,667"
480,Marquese Chriss,GSW,"$654,468"
,,,Salary
Rk,Player,Tm,2019-20
481,Timothé Luwawu-Cabarrot,BRK,"$654,468"
482,Rayjon Tucker,UTA,"$578,573"
483,Chris Clemons,HOU,"$568,422"
484,Gary Clark,ORL,"$555,409"
485,Brandon Goodwin,ATL,"$522,738"
